price,Opinion,battery_power,bc,clock_speed,dual_sim,fc,five_g,int_memory,m_dep,mobile_wt,n_cores,pc,_height,_width,ram,sc_h,sc_w,talk_time
116990,9,4700,50,3.36,1,12,0,256,0.76,196,8,50,1080,2340,8192,15.78,7.62,11.5
179997,6,3279,48,3.2,1,12,0,512,0.78,172,6,48,1170,2532,6144,14.67,7.15,9.8
189990,8,3349,48,3.36,1,12,0,512,0.78,171,6,48,1179,2556,6144,14.76,7.16,11
55990,7,4355,50,3.46,1,12,0,512,0.78,171,6,12,1179,2556,6144,15.56,7.32,8
4990,7,5000,50,3.2,1,16,0,512,0.68,90.1,8,50,1080,2340,8192,12.47,5.1,11
179997,0,1150,0.3,0,0,0.3,0,32,0.73,172,6,0.3,1644,3840,6144,16.5,7.1,6.2
95000,3,5000,48,3.2,1,12,0,256,0.83,187,8,48,1080,2340,8192,15.78,7.62,12
31990,4,4300,50,3.2,1,13,0,256,0.94,172,8,50,1080,2400,8192,14.65,6.81,13
78099,9,5050,50,3,1,48,0,256,0.88,213,9,12,1344,2992,12288,16.26,7.65,11
87822,10,5000,232,3.36,1,12,1,256,0.89,234,8,40,3088,1440,8192,16.34,7.81,13
121380,10,4441,72,3.36,1,12,1,256,0.83,221,6,48,2796,1290,8192,16.9,7.7,16
65280,9,5000,112,3.35,1,20,1,256,0.85,206,8,50,2712,1220,12288,16.9,7.5,11
91800,9,4815,109,3.19,0,13,0,256,0.83,200,8,48,2700,1220,8192,16.9,7.5,11
95880,10,3800,25,3.19,1,32,1,256,0.7,188.5,8,12,2640,1080,8192,17.5,7.5,11
40800,7,5000,60,3.2,1,12,1,256,0.86,182,8,12,2520,1080,8192,15.5,7.4,16
71400,6,5000,64,2.84,1,10,1,256,0.89,213,8,12,2460,1080,8192,17.5,7.81,16
17850,1,5000,54,2.22,1,8,1,256,0.86,193.8,8,12,1610,720,4096,16.5,7.6,16
101898,9,5050,146,3,1,10.5,1,512,0.88,213,9,12,2992,1344,12288,16.2,7.6,11
122400,7,4805,176,3.2,1,20,1,512,1.17,245,8,12,2268,2440,16384,15.34,7.3,12
60180,7,3687,12,13.4,0,12,1,256,0.74,228,6,12,2778,1284,6144,16.08,7.81,20
56100,5,2815,12,13.4,0,12,1,256,0.74,187,6,12,2532,1170,6144,14.67,7.15,17
40800,6,2900,12,6.88,0,7,0,128,0.73,188,4,12,1920,1080,3072,15.82,7.79,21
43860,6,3174,12,11.4,0,7,0,64,0.77,208,6,12,2688,1242,4096,15.75,7.74,25
49980,7,3046,12,12.5,0,12,0,128,0.81,188,6,12,2436,1125,4096,14.37,7.09,18
23460,8,4000,48,15.2,1,13,0,64,0.86,200,8,12,2340,1080,4096,16.06,7.61,32
40800,9,4500,108,17.46,1,10,1,512,0.81,208,8,12,3088,1440,8192,16.43,7.36,22
13260,5,4000,16,16.4,1,13,0,32,0.89,193,8,12,1560,720,3072,16.47,7.62,23
45900,6,4000,12,18.66,1,10,1,128,0.79,163,8,12,3200,1440,8192,15.49,7.12,22
33660,4,1821,12,8,0,7,0,256,0.73,148,6,12,1334,750,2048,13.84,6.73,14
75000,7,3900,72,3.36,1,12,1,512,0.76,168,8,12,1080,2340,8192,14.6,7.6,36
71000,7,3700,72,2.99,1,10,1,256,0.76,168,8,12,1080,2340,8192,14.6,7.06,17
32000,5,4000,64,2.9,1,10,1,256,0.79,169,8,12,1080,2400,8192,15.2,7.1,21
28000,6,4000,64,2.73,1,10,1,128,0.79,163,8,12,1440,3200,8192,15.2,6.9,18.8
26000,6,5000,61,2.6,1,13,1,128,0.82,199,8,12,1080,2340,8192,16.1,7.8,16.8
32000,7,5000,67,2.4,1,32,1,256,0.82,202,8,12,1080,2340,6144,15.8,7.7,16
23000,5,5000,63,2.4,1,13,1,128,0.81,186,8,12,1080,2400,6144,15.97,7.4,18
16000,4,5000,59,2,1,8,0,128,0.88,195,8,12,1080,2408,4096,16.5,7.6,23
9000,3,5000,15,2.3,1,5,0,64,0.91,188,8,12,720,1600,4096,16.4,7.6,32
79000,8,3700,24,3.36,0,10,1,256,0.69,187,8,12,1080,2640,8192,17,7.2,16.6
132000,10,4400,72,3.36,1,14,1,512,0.61,253,8,12,1812,2176,12288,15.8,12.8,14
110000,10,4400,72,3.19,1,14,1,512,0.63,263,8,12,1812,2176,12288,15.5,13.01,30
92900,8,3349,60,3.46,1,12,1,128,0.78,171,6,12,1179,2556,6144,14.7,7.2,28
105000,9,3200,72,3.46,1,12,1,512,0.79,206,6,12,1179,2556,6144,14.8,7.2,18.9
58000,7,3240,24,3.24,1,12,1,256,0.77,174,6,12,1170,2532,4096,14.7,7.2,16.4
38000,6,2815,24,3.1,1,12,1,256,0.74,164,6,12,1170,2532,4096,14.7,7.2,11.6
29000,4,3110,24,2.65,1,12,0,256,0.83,194,6,12,828,1792,4096,15.1,7.6,10.6
125000,9,3274,72,3.78,1,12,1,512,0.83,187,6,12,1179,2556,8196,14.7,7.1,19.3
83000,7,4352,36,3.23,1,12,1,512,0.77,240,6,12,1284,2778,6144,16.1,7.8,11.5
160000,10,4441,72,3.78,1,12,1,512,0.83,221,6,12,1290,2796,8196,16,7.7,15
26000,6,5000,58,2.2,1,13,1,256,0.8,189,8,12,1080,2400,8196,16.6,7.6,12
32000,6,5000,118,2.4,1,16,1,256,0.79,181,8,12,1080,2400,6144,16.3,7.6,19
31000,6,4250,77,2.3,1,16,0,128,0.68,175,8,12,1080,2400,6144,16.1,7.6,14
72000,8,4500,72,3.2,1,32,1,512,0.8,185,8,12,1080,2400,8196,15.3,7.2,41
70000,8,4500,68,3,1,32,1,256,0.82,179,8,12,1080,2400,8196,15.3,7,11.4
50000,7,5160,74,3,1,16,1,256,0.86,204,8,12,1440,3200,8196,16.3,7.6,18.3
37000,6,5000,74,2.91,1,16,1,256,0.79,181,8,12,1080,2400,8196,16.1,7.5,17.6
22000,5,5000,58,2,1,13,1,128,0.8,188,8,12,1080,2400,6144,16.6,7.6,9
24000,5,5000,60,2.6,1,16,1,256,0.8,187,8,12,1080,2400,6144,16.3,7.6,14.9
77000,8,4575,62,3,0,10.5,1,256,0.89,187,9,12,1080,2400,8196,15.1,7.1,18.3
74500,7,5000,200,3.36,1,12,1,256,0.89,234,8,12,3088,1440,8192,16.3,7.81,39
114500,8,4441,48,3.78,0,12,1,256,0.83,221,6,12,2796,1290,8192,15.99,7.67,25
111500,8,4815,48,3.19,1,13,1,256,0.83,200,8,12,2700,1220,8192,16.1,7.45,24
59499,6,5000,50,3.35,1,20,1,256,0.85,206,8,12,2712,1220,12288,16.22,7.57,28
81498,8,5050,50,3,1,10.5,1,128,0.88,213,9,12,2992,1344,12288,16.26,7.65,25
62000,6,5400,50,3.3,1,32,1,256,0.92,220,8,12,3168,1440,12288,16.33,7.58,26
42330,4,5000,50,1.8,1,8,1,128,0.75,182,8,12,2400,1080,6144,16.73,7.67,36
30498,5,3350,16,2.2,1,16,1,64,0.93,210,8,12,2340,1080,6144,15.51,7.3,16
24990,4,5000,50,2.2,1,8,1,128,0.8,188,8,12,1612,720,4096,16.38,7.51,38
46920,3,4600,50,3.1,1,50,1,256,0.75,188,8,12,2800,1260,8192,16.42,7.44,24
121380,10,4441,72,3.36,1,12,1,256,0.83,221,6,12,2796,1290,8192,16.9,7.7,16
87822,10,5000,232,3.36,1,12,1,256,0.89,234,8,12,3088,1440,8192,16.34,7.81,13
101898,8,5050,146,3,1,10.5,1,256,0.88,213,9,12,2992,1344,8192,16.2,7.6,11.1
91800,9,4815,109,3.19,0,13,0,256,0.83,200,8,12,2700,1220,8192,16.9,7.5,11.1
95880,10,3800,25,3.19,1,32,1,256,0.7,188.5,8,12,2640,1080,8192,17.5,7.5,11
122400,8,4805,176,3.2,1,20,1,512,1.17,245,8,12,2268,2440,16384,15.34,7.3,12
71400,7,5000,64,2.84,1,10,1,256,0.89,213,8,12,2460,1080,8192,17.5,7.81,16
17850,0,5000,54,2.2,1,8,1,256,0.86,193.8,8,12,1610,720,6144,16.5,7.6,16
40800,4,5000,60,3.2,1,12,1,256,0.86,182,8,12,2520,1080,8192,15.5,7.4,16
